Index,Donor,Acceptor,Reference,Excitation energy (ECT),OSc,ECT - E1S,ECT - ET1,CT,FF(%),SMILES(donor),SMILES(acceptor),Donor_HOMO(ev),Donor_LUMO(ev),Donor_bandgap(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Acceptor_bandgap(ev),POS,PR,COH,PRNTO,Z_HE,RMSeh,PCE(%)
11,PTVT-T,ITCC,10.3389/fchem.2021.684241,3.853869,1.38815,2.235916,0.883665,24.2,76.72,CC(S1)=CC(C(OCC(CCCC)CCCCCC)=O)=C1/C=C/C2=C(C(OCC(CCCC)CCCCCC)=O)C=C(C3=CC=C(C)S3)S2,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(SC=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(SC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)C%12=C8,5.38,3.01,2.37,5.58,3.77,1.81,1.452,1.128,1.12,1.045,1.165,8.899,24.27
12,PBDB-T,BTA3,https://doi.org/10.1063/5.0039653,3.226209,0.027160019,0.650559,1.62105,0.949545,70.1,CCC(CCCC)CC(S1)=CC=C1C2=C(C=C(S3)C4=CC=C(C(S5)=C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C76)=O)C(C7=O)=C5C8=CC=C(C)S8)S4)C3=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C2SC(C)=C%10,CCCCCCCCN1N=C(C(/C=C2S/C(N(CC)C/2=O)=C(C#N)\C#N)=CC=C3C4=CC5=C(S4)C6=C(C=C(C(SC(C7C8=NN(CCCCCCCC)N=C8C(/C=C9S/C(N(CC)C/9=O)=C(C#N)/C#N)C=C7)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C6)C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C3=N1,5.33,2.92,2.41,5.59,3.7,1.89,1.518,1.053,1.052,1.079,1.238,6.892,23.9
13,PBQx-TCl,BTA3,https://doi.org/10.1007/s10118-022-2761-x,3.287114,0.029858846,0.624387,1.546752,0.837941,79.5,CCCCC(CCCCCC)Cc1cc(sc1C)c1cc2c3nccnc3c3cc(sc3c2s1)c1cc(CC(CCCC)CCCCCC)c(s1)c1cc2c(s1)c(c1cc(Cl)c(CC(CC)CCCC)s1)c1cc(C)sc1c2c1cc(Cl)c(CC(CCCC)CC)s1,CCCCCCCCN1N=C(C(/C=C2S/C(N(CC)C/2=O)=C(C#N)\C#N)=CC=C3C4=CC5=C(S4)C6=C(C=C(C(SC(C7C8=NN(CCCCCCCC)N=C8C(/C=C9S/C(N(CC)C/9=O)=C(C#N)/C#N)C=C7)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C6)C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C3=N1,5.43,2.96,2.47,5.55,3.57,1.98,1.514,1.176,1.186,1.192,1.575,6.575,23.6
14,PBDB-TF(PM6),HDO-4Cl,https://doi.org/10.1039/D0QM00633E,2.9867,0.03134,0.7186,1.461585,0.93019,75.7,FC1=C(CCCCCC)SC(C2=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C(C9=CC(F)=C(CCCCCC)S9)C%10=C2C=C(C)S%10)=C1,CCCCCCCCCCOC1=C(/C=C2/C(C(C=C(Cl)C(Cl)=C3)=C3C2=O)=C(C#N)\C#N)SC4=C1SC5=C4N(CC(CCCCCCCC)CCCCCC)C6=C5C7=NSN=C7C8=C6N(CC(CCCCCCCC)CCCCCC)C9=C8SC%10=C9SC(/C=C%11/C(C(C=C(Cl)C(Cl)=C%12)=C%12C%11=O)=C(C#N)\C#N)=C%10OCCCCCCCCCC,5.45,3.65,1.8,5.64,3.46,2.18,1.512,1.075,1.075,1.033,1.122,6.434,23.4
15,PTQ10,IDIC-Br,https://pubs.acs.org/doi/10.1021/acsenergylett.2c00515,3.556498,8.1503e-05,1.189473,1.984123,0.994696,64.0,Cc1c2nc(OCC(CCCCCCCC)CCCCCC)cnc2c(c(F)c1F)c1sc(C)cc1,O=C1\C(=C/c2sc3c(c2Br)C(CCCCCCCC)(CCCCCCCC)c2cc4c5sc(\C=C\6/C(=O)c7ccccc7/C/6=C(\C#N)C#N)c(Br)c5C(CCCCCCCC)(CCCCCCCC)c4cc32)\C(\c2ccccc12)=C(\C#N)C#N,5.54,2.98,2.56,5.9,4.07,1.83,1.499,1.006,1.006,1.021,1.064,9.026,23.0
16,PBDB-TS-4Cl,IT-4F,https://doi.org/10.1021/acsami.0c02712,3.51043,0.013997065,1.163907,1.962519,0.525067,73.9,CCCCC(CC)CSC(S1)=CC(Cl)=C1C2=C(C=C(C3=CC=C(C4=C5C(C(C(C(C5=O)=C6CC(CC)CCCC)=C(S6)CC(CC)CCCC)=O)=C(C7=CC=C(C)S7)S4)S3)S8)C8=C(C9=C(Cl)C=C(SCC(CC)CCCC)S9)C%10=C2SC(C)=C%10,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C(/C(C%14=C%15C=C(C(F)=C%14)F)=C(C#N)\C#N)C%15=O)=C%13)C%12=C8,5.61,3.79,1.82,5.66,4.14,1.52,1.329,1.539,1.453,2.288,3.103,7.112,21.7
17,PBDB-TSCl,IT-4F,https://doi.org/10.1021/acsenergylett.9b01819,3.482816,0.013695195,1.141329,1.939221,0.898912,76.29,CCCCC(CC)CSC(S1)=C(Cl)C=C1C2=C(C=C(C3=CC=C(C4=C5C(C(C(C(C5=O)=C(CC(CCCC)CC)S6)=C6CC(CC)CCCC)=O)=C(C7=CC=C(C)S7)S4)S3)S8)C8=C(C9=CC(Cl)=C(SCC(CC)CCCC)S9)C%10=C2SC(C)=C%10,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C(/C(C%14=C%15C=C(C(F)=C%14)F)=C(C#N)\C#N)C%15=O)=C%13)C%12=C8,5.61,3.8,1.81,5.66,4.14,1.52,1.492,1.109,1.113,1.256,1.68,8.69,21.53
18,PBDB-TF(PM6),IT-4F,https://doi.org/10.1002/adma.201904512,2.66577,2.26807917,0.335189,1.12464,0.424373,78.0,FC1=C(CCCCCC)SC(C2=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C(C9=CC(F)=C(CCCCCC)S9)C%10=C2C=C(C)S%10)=C1,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C(/C(C%14=C%15C=C(C(F)=C%14)F)=C(C#N)\C#N)C%15=O)=C%13)C%12=C8,5.45,3.65,1.8,5.66,4.14,1.52,1.006,1.012,1.012,2.096,2.605,4.619,20.8
19,PBDB-TS-3Cl,IT-4F,https://doi.org/10.1002/cssc.202100981,3.347206,0.258506516,0.975844,1.761495,0.668963,72.2,CCCCC(CC)CSC(S1)=C(Cl)C=C1C2=C(C=C(C3=CC=C(C4=C5C(C(C(C(C5=O)=C6CC(CC)CCCC)=C(S6)CC(CC)CCCC)=O)=C(C7=CC=C(C)S7)S4)S3)S8)C8=C(C9=CC(Cl)=C(SCC(CC)CCCC)S9)C%10=C2SC(C)=C%10,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C(/C(C%14=C%15C=C(C(F)=C%14)F)=C(C#N)\C#N)C%15=O)=C%13)C%12=C8,5.61,3.79,1.82,5.66,4.14,1.52,1.624,1.394,1.347,1.594,2.651,6.565,20.4
20,PBQx-TCl,DTz-R3,https://doi.org/10.1007/s10118-022-2761-x,3.143893,0.042673541,0.499935,1.420723,0.928956,76.3,CCCCC(CCCCCC)Cc1cc(sc1C)c1cc2c3nccnc3c3cc(sc3c2s1)c1cc(CC(CCCC)CCCCCC)c(s1)c1cc2c(s1)c(c1cc(Cl)c(CC(CC)CCCC)s1)c1cc(C)sc1c2c1cc(Cl)c(CC(CCCC)CC)s1,CCCCCCc1ccc(cc1)C1(c2ccc(CCCCCC)cc2)c2cc3c4sc(cc4C(c4ccc(cc4)CCCCCC)(c4ccc(CCCCCC)cc4)c3cc2c2sc(cc21)C1C=CC(/C=C2/S\C(=C(/C#N)C#N)N(CCCC)C2=O)c2nn(CCCCCCCC)nc12)c1ccc(\C=C2\S/C(=C(/C#N)C#N)N(CCCC)C2=O)c2nn(nc21)CCCCCCCC,5.43,2.96,2.47,5.56,3.57,1.99,1.493,1.075,1.076,1.111,1.312,6.499,20.1
